seed,model,kernel,pca_components,C,gamma,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds
123,RBF SVM — PCA 4,rbf,4,0.1,0.01,0.9060276749515248,0.03150411096271441,0.9362637362637363,0.01965774046153663,0.9874097007223943,0.013061933814073681,5
123,RBF SVM — PCA 4,rbf,4,0.1,0.1,0.9208732933732934,0.03401554642049602,0.9428571428571428,0.023823608119427252,0.9849329205366356,0.0149612111067343,5
123,RBF SVM — PCA 4,rbf,4,0.1,1.0,0.0,0.0,0.6263736263736264,0.0,0.9535603715170279,0.016612342654288174,5
123,RBF SVM — PCA 4,rbf,4,1.0,scale,0.9363622596245607,0.045832224407545995,0.9538461538461538,0.03241292572253328,0.9910216718266254,0.01308230172573434,5
123,RBF SVM — PCA 4,rbf,4,1.0,auto,0.9239793350787675,0.037264292561599584,0.9428571428571428,0.027362416698876294,0.9729618163054695,0.022102458968849003,5
123,RBF SVM — PCA 4,rbf,4,1.0,0.01,0.9377548431960196,0.0470521482001595,0.956043956043956,0.03203819722442469,0.9929824561403509,0.009719368155187688,5
123,RBF SVM — PCA 4,rbf,4,1.0,0.1,0.936555958960051,0.04314187019816258,0.9538461538461538,0.03049326796815736,0.9833849329205366,0.01898486187406288,5
123,RBF SVM — PCA 4,rbf,4,1.0,1.0,0.8385280237074877,0.057757189936397335,0.8813186813186814,0.03916160369495704,0.946078431372549,0.021392058761322233,5
123,RBF SVM — PCA 4,rbf,4,10.0,scale,0.9431552760964526,0.03779740181643351,0.9582417582417582,0.027362416698876322,0.9893704850361196,0.012933907693106591,5
123,RBF SVM — PCA 4,rbf,4,10.0,auto,0.8841944596874175,0.044977906481380364,0.9098901098901099,0.03677626490259676,0.9518059855521155,0.0199497644318151,5
123,RBF SVM — PCA 4,rbf,4,10.0,0.01,0.9425161057784068,0.03374620795584201,0.9582417582417582,0.0238236081194273,0.9926728586171312,0.010520496580453976,5
123,RBF SVM — PCA 4,rbf,4,10.0,0.1,0.9235511781680585,0.028658311665638002,0.9428571428571428,0.02113778468315532,0.9730650154798761,0.015631353804351492,5
123,RBF SVM — PCA 4,rbf,4,10.0,1.0,0.8429849433939836,0.049380807928314605,0.8791208791208792,0.04256025655172984,0.929360165118679,0.03353099830727505,5
123,RBF SVM — PCA 4,rbf,4,100.0,scale,0.9140875744993933,0.030538472812188074,0.9362637362637363,0.021137784683155324,0.9738906088751291,0.01284093853868187,5
123,RBF SVM — PCA 4,rbf,4,100.0,auto,0.8658952391126304,0.05556654745183453,0.8945054945054945,0.045706888666121825,0.9209494324045409,0.03228254265903377,5
123,RBF SVM — PCA 4,rbf,4,100.0,0.01,0.9306738601178569,0.04352460618448638,0.9494505494505494,0.029690672716717135,0.9923632610939113,0.010309592358094595,5
123,RBF SVM — PCA 4,rbf,4,100.0,0.1,0.890569042635654,0.0439016975399331,0.9164835164835164,0.03440104580768906,0.9502579979360165,0.019949764431815155,5
123,RBF SVM — PCA 4,rbf,4,100.0,1.0,0.851913514822555,0.046439139138831624,0.8835164835164836,0.042275569366310634,0.9283281733746132,0.033612289540457696,5
123,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.01,none,0.0,0.0,0.6263736263736264,0.0,0.9471620227038183,0.02230033631782657,5
123,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,0.1,none,0.28597844583096993,0.17117582058230738,0.6901098901098901,0.040674187963344495,0.9474716202270381,0.022451454164107806,5
123,"QSVC — PCA 4 / 4Q (reps=1, full)",quantum,4,1.0,none,0.8387472249514367,0.020182267091518342,0.8835164835164836,0.014743305346152442,0.9525283797729618,0.019786944776897904,5
