seed,pca_components,n_qubits,inner_fold,reps,entanglement,C,n_inner_train,n_inner_validation,kernel_cache_id,kernel_runtime_shared_across_C,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
123,4,4,5,1,full,100.0,364,91,seed=123|dim=4|fold=5|reps=1|ent=full,0.42986289999680594,0.8571428571428571,0.8888888888888888,0.7058823529411765,0.7868852459016393,0.9226006191950464
123,4,4,5,2,linear,0.01,364,91,seed=123|dim=4|fold=5|reps=2|ent=linear,0.537984200003848,0.6263736263736264,0.0,0.0,0.0,0.9241486068111455
123,4,4,5,2,linear,0.1,364,91,seed=123|dim=4|fold=5|reps=2|ent=linear,0.537984200003848,0.6263736263736264,0.0,0.0,0.0,0.9236326109391124
123,4,4,5,2,linear,1.0,364,91,seed=123|dim=4|fold=5|reps=2|ent=linear,0.537984200003848,0.8571428571428571,0.8888888888888888,0.7058823529411765,0.7868852459016393,0.913828689370485
123,4,4,5,2,linear,10.0,364,91,seed=123|dim=4|fold=5|reps=2|ent=linear,0.537984200003848,0.8241758241758241,0.8,0.7058823529411765,0.75,0.8642930856553148
123,4,4,5,2,linear,100.0,364,91,seed=123|dim=4|fold=5|reps=2|ent=linear,0.537984200003848,0.8131868131868132,0.7428571428571429,0.7647058823529411,0.7536231884057971,0.8735810113519092
123,4,4,5,2,full,0.01,364,91,seed=123|dim=4|fold=5|reps=2|ent=full,0.8142177000045194,0.6263736263736264,0.0,0.0,0.0,0.8034055727554179
123,4,4,5,2,full,0.1,364,91,seed=123|dim=4|fold=5|reps=2|ent=full,0.8142177000045194,0.6263736263736264,0.0,0.0,0.0,0.8013415892672859
123,4,4,5,2,full,1.0,364,91,seed=123|dim=4|fold=5|reps=2|ent=full,0.8142177000045194,0.7472527472527473,0.7894736842105263,0.4411764705882353,0.5660377358490566,0.8116615067079463
123,4,4,5,2,full,10.0,364,91,seed=123|dim=4|fold=5|reps=2|ent=full,0.8142177000045194,0.7362637362637363,0.6923076923076923,0.5294117647058824,0.6,0.7863777089783281
123,4,4,5,2,full,100.0,364,91,seed=123|dim=4|fold=5|reps=2|ent=full,0.8142177000045194,0.7032967032967034,0.6296296296296297,0.5,0.5573770491803278,0.7636738906088752
123,4,4,5,3,linear,0.01,364,91,seed=123|dim=4|fold=5|reps=3|ent=linear,0.7982145999994827,0.6263736263736264,0.0,0.0,0.0,0.8735810113519091
123,4,4,5,3,linear,0.1,364,91,seed=123|dim=4|fold=5|reps=3|ent=linear,0.7982145999994827,0.6263736263736264,0.0,0.0,0.0,0.8756449948400413
123,4,4,5,3,linear,1.0,364,91,seed=123|dim=4|fold=5|reps=3|ent=linear,0.7982145999994827,0.7802197802197802,0.7916666666666666,0.5588235294117647,0.6551724137931034,0.8555211558307534
123,4,4,5,3,linear,10.0,364,91,seed=123|dim=4|fold=5|reps=3|ent=linear,0.7982145999994827,0.7692307692307693,0.7407407407407407,0.5882352941176471,0.6557377049180327,0.8307533539731682
123,4,4,5,3,linear,100.0,364,91,seed=123|dim=4|fold=5|reps=3|ent=linear,0.7982145999994827,0.7142857142857143,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.8044375644994841
123,4,4,5,3,full,0.01,364,91,seed=123|dim=4|fold=5|reps=3|ent=full,1.169425300002331,0.6263736263736264,0.0,0.0,0.0,0.7518059855521155
123,4,4,5,3,full,0.1,364,91,seed=123|dim=4|fold=5|reps=3|ent=full,1.169425300002331,0.6263736263736264,0.0,0.0,0.0,0.7512899896800826
123,4,4,5,3,full,1.0,364,91,seed=123|dim=4|fold=5|reps=3|ent=full,1.169425300002331,0.6923076923076923,0.7142857142857143,0.29411764705882354,0.4166666666666667,0.7445820433436533
123,4,4,5,3,full,10.0,364,91,seed=123|dim=4|fold=5|reps=3|ent=full,1.169425300002331,0.6593406593406593,0.5714285714285714,0.35294117647058826,0.43636363636363634,0.650670794633643
123,4,4,5,3,full,100.0,364,91,seed=123|dim=4|fold=5|reps=3|ent=full,1.169425300002331,0.6263736263736264,0.5,0.2647058823529412,0.34615384615384615,0.6424148606811145
456,2,2,1,1,linear,0.01,364,91,seed=456|dim=2|fold=1|reps=1|ent=linear,0.16682880000007572,0.6263736263736264,0.0,0.0,0.0,0.915376676986584
456,2,2,1,1,linear,0.1,364,91,seed=456|dim=2|fold=1|reps=1|ent=linear,0.16682880000007572,0.8571428571428571,0.8,0.8235294117647058,0.8115942028985508,0.9370485036119711
456,2,2,1,1,linear,1.0,364,91,seed=456|dim=2|fold=1|reps=1|ent=linear,0.16682880000007572,0.8901098901098901,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9633642930856552
456,2,2,1,1,linear,10.0,364,91,seed=456|dim=2|fold=1|reps=1|ent=linear,0.16682880000007572,0.9010989010989011,0.8205128205128205,0.9411764705882353,0.8767123287671232,0.9623323013415893
456,2,2,1,1,linear,100.0,364,91,seed=456|dim=2|fold=1|reps=1|ent=linear,0.16682880000007572,0.8791208791208791,0.7948717948717948,0.9117647058823529,0.8493150684931506,0.9592363261093911
456,2,2,1,2,linear,0.01,364,91,seed=456|dim=2|fold=1|reps=2|ent=linear,0.252937600002042,0.6263736263736264,0.0,0.0,0.0,0.8730650154798762
456,2,2,1,2,linear,0.1,364,91,seed=456|dim=2|fold=1|reps=2|ent=linear,0.252937600002042,0.8021978021978022,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.891124871001032
456,2,2,1,2,linear,1.0,364,91,seed=456|dim=2|fold=1|reps=2|ent=linear,0.252937600002042,0.8021978021978022,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.9066047471620227
